"","name","url","price","reviewscount","Rankings","rating","amenity","Adress","hotel_class","savings"
"1","Maya Inn","https://www.tripadvisor.in/Hotel_Review-g659796-d6733512-Reviews-Maya_Inn-Gangtok_East_Sikkim_Sikkim.html","1,536","74 reviews","#19 of 221 Gangtok B&B and Inns"," 4.0 ","Free Internet, Free Parking, Breakfast included, Restaurant, Airport Transportation, Room Service, Wheelchair Access","Indira bye pass road, Gangtok, Gangtok 737102, India","3 Star Hotel","2,566 "
"2","Bamboo Grove Retreat","https://www.tripadvisor.in/Hotel_Review-g659796-d1541532-Reviews-Bamboo_Grove_Retreat-Gangtok_East_Sikkim_Sikkim.html","1,729","299 reviews","#2 Best Value of 127 hotels in Gangtok"," 4.5 ","Free Wifi, Free Parking, Restaurant, Airport Transportation, Room Service, Dry Cleaning","Gyatseling | Kazi Road, Gangtok 737101, India","2 Star Hotel","828 "
"3","White Conch Residency","https://www.tripadvisor.in/Hotel_Review-g659796-d1150058-Reviews-White_Conch_Residency-Gangtok_East_Sikkim_Sikkim.html","1,576","76 reviews","#4 of 206 Speciality Lodging in Gangtok"," 4.0 ","Internet, Free Parking, Restaurant, Room Service, Laundry Service, Self-Serve Laundry","White Conch Residency Church Road | Near Dominos/ Pelling Stand, Gangtok 737101, India","3 Star Hotel","826 "
"4","WelcomHeritage Denzong Regency","https://www.tripadvisor.in/Hotel_Review-g659796-d1486495-Reviews-WelcomHeritage_Denzong_Regency-Gangtok_East_Sikkim_Sikkim.html","16,896","199 reviews","#4 Best Value of 127 hotels in Gangtok"," 4.5 ","Free Wifi, Free Parking, Breakfast included, Non-Smoking Rooms, Restaurant, Room Service, Suites","Cherry Banks | Opp. Raj Bhawan, Gangtok 737101, India","4 Star Hotel","5,027 "
"5","Juniper Tree Hotel","https://www.tripadvisor.in/Hotel_Review-g659796-d2238627-Reviews-Juniper_Tree_Hotel-Gangtok_East_Sikkim_Sikkim.html","2,137","183 reviews","#10 of 221 Gangtok B&B and Inns"," 4.5 ","Free Internet, Non-Smoking Rooms, Restaurant, Airport Transportation, Room Service, Suites, Concierge","Church Road | District East Sikkim, Gangtok, India","3 Star Hotel","695 "
"6","Hotel Kyitsel","https://www.tripadvisor.in/Hotel_Review-g659796-d3178745-Reviews-Hotel_Kyitsel-Gangtok_East_Sikkim_Sikkim.html","1,800","10 reviews","#54 of 221 Gangtok B&B and Inns"," 4.5 ","Free Parking, Restaurant, Airport Transportation, Room Service, Bar/Lounge, Laundry Service","31 - a National Highway | opp. IDBI Bank, Gangtok 737101, India","0","1,035 "
"7","Summit Norling Resort & Spa","https://www.tripadvisor.in/Hotel_Review-g659796-d2136640-Reviews-Summit_Norling_Resort_Spa-Gangtok_East_Sikkim_Sikkim.html","3,362","440 reviews","#7 Best Value of 127 hotels in Gangtok"," 4.0 ","Free Internet, Free Parking, Breakfast included, Non-Smoking Hotel, Restaurant, Room Service, Suites","Rongey | Near Central Jail, Gangtok 737101, IndiaRongey | Near Cent","3 Star Hotel","1,476 "
"8","OYO 3109 Kundau Residency","https://www.tripadvisor.in/Hotel_Review-g659796-d3935262-Reviews-OYO_3109_Kundau_Residency-Gangtok_East_Sikkim_Sikkim.html","2,575","24 reviews","#8 Best Value of 127 hotels in Gangtok"," 4.0 ","Free Wifi, Free Parking, Non-Smoking Hotel, Restaurant, Airport Transportation, Room Service, Suites","Genfama, J.N. Road | Chandmari, Gangtok 737103, India","3 Star Hotel","225 "
"9","Hotel Pomra","https://www.tripadvisor.in/Hotel_Review-g659796-d2454149-Reviews-Hotel_Pomra-Gangtok_East_Sikkim_Sikkim.html","1,674","16 reviews","#32 of 221 Gangtok B&B and Inns"," 4.5 ","Free Wifi, Free Parking, Restaurant, Room Service","Bhanu Path, Gangtok 737101, India","1 Star Hotel","286 "
"10","Hotel Royal Residency","https://www.tripadvisor.in/Hotel_Review-g659796-d2200711-Reviews-Hotel_Royal_Residency-Gangtok_East_Sikkim_Sikkim.html","2,118","82 reviews","#22 of 221 Gangtok B&B and Inns"," 4.0 ","Free Wifi, Breakfast included, Non-Smoking Hotel, Restaurant, Airport Transportation, Room Service, Suites","Hotel Royal Residency Mg Rd Kazi Road | Kazi Road/ Above M G Marg, Gangtok 737101, India","3 Star Hotel","2,012 "
